ts,coin,mark,long_ntl,short_ntl,near_liq_long,near_liq_short,n_pos
2026-07-13T12:41:28Z,STX,0.16454,66122,67776,0,0,26
2026-07-13T12:41:28Z,CFX,0.042831,7997,710611,0,0,25
2026-07-13T12:41:28Z,GMX,5.6228,5073,182193,0,0,26
2026-07-13T12:41:28Z,SNX,0.2295,193597,5603,0,0,23
2026-07-13T12:41:28Z,XRP,1.0713,5210311,8647956,0,5334,94
2026-07-13T12:41:28Z,BCH,236.77,570969,1108327,0,0,55
2026-07-13T12:41:28Z,APT,0.5944,538674,110230,0,0,48
2026-07-13T12:41:28Z,AAVE,95.218,508145,12325346,0,80729,86
2026-07-13T12:41:28Z,COMP,16.787,68238,178480,0,0,23
2026-07-13T12:41:28Z,WLD,0.42043,62158,6607617,0,101383,74
2026-07-13T12:41:28Z,YGG,0.021655,20195,41944,0,0,19
2026-07-13T12:41:28Z,kSHIB,0.004193,245641,689526,0,0,32
2026-07-13T12:41:28Z,SEI,0.047708,78235,246395,0,0,32
2026-07-13T12:41:28Z,DOT,0.83059,910901,283268,0,0,43
2026-07-13T12:41:28Z,BANANA,3.4425,1468,41741,0,0,18
2026-07-13T12:41:28Z,BSV,14.38,1151,142222,0,0,20
2026-07-13T12:41:28Z,ADA,0.15887,2258191,1197625,0,0,69
2026-07-13T12:41:28Z,POLYX,0.03568,5845,36075,0,0,18
2026-07-13T12:41:28Z,GAS,1.0375,43109,56324,0,0,16
2026-07-13T12:41:28Z,PENDLE,1.4936,83898,414422,0,0,34
2026-07-13T12:41:28Z,FET,0.15895,13065,1308440,0,0,28
2026-07-13T12:41:28Z,NEAR,1.8965,160912,8354139,26483,80588,77
2026-07-13T12:41:28Z,MEME,0.00055,77125,76508,0,0,21
2026-07-13T12:41:28Z,SUSHI,0.15948,93436,93328,0,0,20
2026-07-13T12:41:28Z,kBONK,0.003901,766429,1774075,0,0,34
2026-07-13T12:41:28Z,GMT,0.00753,47355,46190,0,0,21
2026-07-13T12:41:28Z,SUPER,0.08481,12163,48910,0,0,14
2026-07-13T12:41:28Z,JUP,0.2037,655675,1117531,0,0,45
2026-07-13T12:41:28Z,kLUNC,0.059707,76069,84505,0,0,12
2026-07-13T12:41:28Z,GALA,0.002023,23572,14635,0,0,22
2026-07-13T12:41:28Z,JTO,0.64778,129436,2316588,0,0,41
2026-07-13T12:41:28Z,ACE,0.071,41887,79085,0,0,18
2026-07-13T12:41:28Z,WIF,0.14978,58275,631822,0,0,40
2026-07-13T12:41:28Z,CAKE,1.3854,53835,300111,0,0,24
2026-07-13T12:41:28Z,ETC,6.9455,145919,193888,0,0,23
2026-07-13T12:41:28Z,XAI,0.00686,136491,50373,0,0,18
2026-07-13T12:41:28Z,MANTA,0.05986,12046,96658,0,0,18
2026-07-13T12:41:28Z,UMA,0.36585,46678,107886,0,0,19
2026-07-13T12:41:28Z,ALT,0.006206,99389,21998,0,0,19
2026-07-13T12:41:28Z,ZETA,0.03413,110105,2494,0,0,22
2026-07-13T12:41:28Z,DYM,0.01535,9569,60233,0,0,13
2026-07-13T12:41:28Z,W,0.00954,182613,314537,0,0,23
2026-07-13T12:41:28Z,STRK,0.02967,45955,467392,0,0,29
2026-07-13T12:41:28Z,TAO,205.75,354684,5435588,0,0,67
2026-07-13T12:41:28Z,AR,1.9199,31902,585015,0,0,30
2026-07-13T12:41:28Z,kFLOKI,0.022006,186969,204426,0,0,22
2026-07-13T12:41:28Z,BOME,0.000405,49007,45568,0,0,16
2026-07-13T12:41:28Z,MNT,0.42466,21231,307176,0,0,22
2026-07-13T12:41:28Z,TNSR,0.03086,74989,14409,0,0,20
2026-07-13T12:41:28Z,SAGA,0.01249,856,187918,0,0,21
2026-07-13T12:41:28Z,HBAR,0.066619,189002,368938,0,0,35
2026-07-13T12:41:28Z,POPCAT,0.043825,37416,340125,0,0,23
2026-07-13T12:41:28Z,REZ,0.002433,2386,107876,0,0,18
2026-07-13T12:41:28Z,TURBO,0.000853,36836,120927,0,0,21
2026-07-13T12:41:28Z,BRETT,0.005125,63787,78013,0,0,23
2026-07-13T12:41:28Z,IO,0.156,179428,107060,0,0,20
2026-07-13T12:41:28Z,ZK,0.010181,166867,237124,0,0,24
2026-07-13T12:41:28Z,RENDER,1.5054,241704,150699,0,0,30
2026-07-13T12:41:28Z,CELO,0.072119,25633,19503,0,0,17
2026-07-13T12:41:28Z,HMSTR,0.000196,30880,46012,0,0,18
2026-07-13T12:41:28Z,kNEIRO,0.06088,47095,39685,0,0,12
2026-07-13T12:41:28Z,GOAT,0.013675,11107,11812,0,0,23
2026-07-13T12:41:28Z,GRASS,0.38683,48627,380423,0,0,30
2026-07-13T12:41:28Z,PNUT,0.04266,6621,412719,0,0,28
2026-07-13T12:41:28Z,ALGO,0.08276,114123,307815,0,0,28
2026-07-13T12:41:28Z,HYPE,64.271,39244539,64242059,24965,11997,136
2026-07-13T12:41:28Z,ME,0.06278,66261,77910,0,0,23
2026-07-13T12:41:28Z,MOVE,0.010635,27073,72526,0,0,21
2026-07-13T12:41:28Z,VIRTUAL,0.5602,101929,1746727,0,0,37
2026-07-13T12:41:28Z,PENGU,0.005928,121761,658180,0,0,54
2026-07-13T12:41:28Z,FARTCOIN,0.14115,914914,1436987,0,0,61
2026-07-13T12:41:28Z,AIXBT,0.018807,79078,186110,0,0,26
2026-07-13T12:41:28Z,BIO,0.028537,66977,226328,0,0,27
2026-07-13T12:41:28Z,GRIFFAIN,0.008515,109401,76743,0,0,23
2026-07-13T12:41:28Z,MORPHO,1.9817,106849,589012,0,0,32
2026-07-13T12:41:28Z,TRUMP,1.5471,2170146,435421,0,0,53
2026-07-13T12:41:28Z,MELANIA,0.08081,356602,40359,0,0,26
2026-07-13T12:41:28Z,ANIME,0.002721,45259,41935,0,0,26
2026-07-13T12:41:28Z,VVV,10.658,71512,3002283,0,0,46
2026-07-13T12:41:28Z,BERA,0.18789,53046,207623,0,0,28
2026-07-13T12:41:28Z,LAYER,0.064645,37114,44134,0,0,18
2026-07-13T12:41:28Z,KAITO,0.68789,478269,391308,0,0,28
2026-07-13T12:41:28Z,NIL,0.034073,43932,182598,0,0,21
2026-07-13T12:41:28Z,PAXG,4057.0,3159916,3622836,0,0,38
2026-07-13T12:41:28Z,WCT,0.04346,20490,31282,0,0,15
2026-07-13T12:41:28Z,HYPER,0.067221,64547,117128,0,0,18
2026-07-13T12:41:28Z,INIT,0.05425,28690,28041,0,0,19
2026-07-13T12:41:28Z,NXPC,0.2534,33088,149901,0,0,19
2026-07-13T12:41:28Z,SOPH,0.004634,9001,5847,0,0,21
