ts,addr,coin,szi,entryPx,liqPx,mark,dist_to_liq,uPnl,lev,acct_value
2026-07-13T12:01:50Z,0x0a06ec6754b628be489b2c40bba20c8580392a7b,WLFI,26561.0,0.057812,2.5398e-06,0.057512,1.0000,-7.915178,1,1174541
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,DOGE,42977.0,0.072842,,0.072254,,-25.056133,10,25260
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,SUI,-585.8,0.73481,41.0521533109,0.73101,55.1581,2.07271,5,25260
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,kPEPE,-254218.0,0.002743,0.0956602548,0.002747,33.8235,-1.064009,10,25260
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,PENGU,289855.0,0.006031,,0.005953,,-22.326232,5,25260
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,PUMP,186196.0,0.001512,,0.001511,,-0.04211,5,25260
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,ZEC,2.39,514.2576,,511.16,,-7.092606,5,25260
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,AVAX,-132586.9,6.6454,17.6958928202,6.6473,1.6621,-397.087459,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,BNB,-354.213,575.554,4704.4116990033,569.15,7.2657,2257.953299,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,DOGE,-383785.0,0.073499,3.8888563808,0.072254,52.8220,476.151734,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,LINK,-124911.3,7.78357,19.6625436198,7.9353,1.4779,-19065.203913,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,XRP,260669.0,1.072665,,1.0768,,1077.756061,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,BCH,-586.285,244.427,2735.9731268045,237.64,10.5131,3996.965911,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,TRX,-55969.0,0.330476,26.4975078611,0.32672,80.1016,210.235728,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,ADA,-1277625.0,0.161544,1.3058153758,0.15935,7.1946,2803.17771,10,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,XLM,-2032864.0,0.193659,0.8717148946,0.18383,3.7420,19779.200979,5,1822783
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,HYPE,-36068.12,67.713,105.6087339612,64.998,0.6248,97927.712948,7,1822783
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,BTC,3.17914,62966.1,53924.4946013981,62926.0,0.1430,-99.00376,20,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,ETH,-8.6123,1780.56,5001.6535978069,1780.7,1.8088,-8.043067,20,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,SOL,20.67,76.249,,76.296,,1.36422,20,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,AVAX,-305.24,6.6401,94.9086523735,6.6473,13.2778,-2.523572,10,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,DOGE,28921.0,0.072289,,0.072254,,-0.87765,10,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,SUI,344.5,0.7308,,0.73101,,0.162751,10,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,XRP,2099.0,1.076274,,1.0768,,1.103105,20,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,WLD,3630.2,0.42814,,0.42794,,-1.398574,10,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,NEAR,-519.9,1.91615,53.7332332848,1.9144,27.0679,0.862645,10,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,TAO,16.416,208.258,,206.48,,-27.886983,5,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,ENA,-2046.0,0.079423,13.2467218536,0.079255,166.1405,0.266583,10,31964
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,HYPE,-24.54,64.9972,1162.8203078744,64.998,16.8901,-0.018961,10,31964
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,BTC,0.008,61129.3,,62926.0,,14.445595,9,4852505
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,ETH,2.3553,1729.29,,1780.7,,122.946661,20,4852505
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,SOL,12.71,82.02,,76.296,,-72.510696,20,4852505
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,WLD,8496.2,0.3551,,0.42794,,617.284423,10,4852505
